date,unemp_rate,unemp_initialclaim,unemp_continueclaim,unemp_perlabforce,unemp_perlabforceperunemp,unemp_duration
1993-04-01,7.1,354750.0,2.7755e6,2.1585111677969264,30.401565743618686,17.6
1993-05-01,7.1,343600.0,2.7784e6,2.1493996781779923,30.273234903915387,17.5
1993-06-01,7.0,342750.0,2.812e6,2.172921930902319,31.04174187003313,17.8
1993-07-01,6.9,350800.0,2.7828e6,2.150590817406895,31.167982860969488,17.7
1993-08-01,6.8,341000.0,2.80325e6,2.1626844829847474,31.80418357330511,18.0
1993-09-01,6.7,339000.0,2.826e6,2.1861558931831544,32.629192435569465,18.1
1993-10-01,6.8,349800.0,2.825e6,2.180238166902055,32.06232598385375,18.1
1993-11-01,6.6,341000.0,2.80075e6,2.1592231961822823,32.71550297245883,18.6
1993-12-01,6.5,323000.0,2.76225e6,2.1257724659653228,32.704191784081885,18.3
1994-01-01,6.6,359200.0,2.7096e6,2.074795552696867,31.43629625298283,18.6
1994-02-01,6.6,348500.0,2.7925e6,2.1370791848104753,32.379987648643564,19.0
1994-03-01,6.5,335750.0,2.7545e6,2.112346625766871,32.497640396413395,19.0
1994-04-01,6.4,344000.0,2.7366e6,2.0950689399101217,32.73545218609565,19.0
1994-05-01,6.1,359000.0,2.75275e6,2.1048868702161663,34.50634213469125,19.5
1994-06-01,6.1,340000.0,2.72e6,2.0833173765519564,34.152743877900924,18.8
1994-07-01,6.1,342200.0,2.6596e6,2.0356366530937144,33.371092673667455,19.0
1994-08-01,6.0,336250.0,2.6475e6,2.0167587126261663,33.612645210436106,18.8
1994-09-01,5.9,330250.0,2.62925e6,2.00063155812237,33.90900945970118,18.7
1994-10-01,5.8,333400.0,2.574e6,1.9537891668690794,33.6860201184324,19.3
1994-11-01,5.6,328000.0,2.53225e6,1.9199566308542662,34.28493983668333,18.0
1994-12-01,5.5,323200.0,2.5288e6,1.9164689922774365,34.84489076868066,17.8
1995-01-01,5.6,333500.0,2.5125e6,1.9028612975052634,33.979666026879705,17.1
1995-02-01,5.4,337750.0,2.5225e6,1.9093214245165195,35.357804157713325,17.0
1995-03-01,5.4,340250.0,2.53125e6,1.9160459623944046,35.482332636933414,17.3
1995-04-01,5.8,350200.0,2.5194e6,1.9001432988913192,32.76109136019516,17.6
1995-05-01,5.6,370250.0,2.573e6,1.9514451919211837,34.84723557002114,17.0
1995-06-01,5.6,366250.0,2.60675e6,1.97557389597496,35.278105285267145,15.9
1995-07-01,5.7,371400.0,2.6228e6,1.9818199678109156,34.76877136510378,16.5
1995-08-01,5.7,356250.0,2.60725e6,1.9701744045460043,34.56446323764919,16.2
1995-09-01,5.6,362000.0,2.6268e6,1.980831152770132,35.37198487089522,16.2
1995-10-01,5.5,371500.0,2.66325e6,2.0067286536664755,36.485975521208644,16.0
1995-11-01,5.6,377000.0,2.672e6,2.0148702248631367,35.97982544398459,16.4
1995-12-01,5.6,365000.0,2.6126e6,1.9716099040834347,35.20731971577562,16.3
1996-01-01,5.6,374000.0,2.64875e6,1.997308017132171,35.66621459164592,16.1
1996-02-01,5.5,377250.0,2.69275e6,2.0253550153438833,36.824636642616056,16.4
1996-03-01,5.5,386400.0,2.685e6,2.016068478750563,36.655790522737504,17.3
1996-04-01,5.6,359250.0,2.6335e6,1.974004752303068,35.250084862554786,17.6
1996-05-01,5.6,344500.0,2.5905e6,1.9380250922067526,34.60759093226344,17.0
