date,unemp_lvl,unemp_ft,unemp_pt,unemp_lvl_5,unemp_lvl_514,unemp_lvl_16,unemp_lvl_loser,unemp_lvl_leaver,unemp_lvl_retrant,unemp_lvl_newentrant,unemp_lvl_entrant,loser_wk5,leaver_wk5,retrant_wk5,newentrant_wk5,entrant_wk5,loser_wk514,leaver_wk514,retrant_wk514,newentrant_wk514,entrant_wk514,loser_wk15,leaver_wk15,retrant_wk15,newentrant_wk15,entrant_wk15,leaver_hazardinflow,loser_hazardinflow,entrant_hazardinflow
1982-11-01,11938.0,10159.0,1798.0,3974.0,3518.0,4485.0,7029.0,795.0,2502.0,1149.0,3651.0,2164.9320000000002,256.78499999999997,1048.338,437.769,1486.107,2059.4970000000003,287.79,845.6759999999999,335.508,1181.184,2804.571,251.22,607.986,376.87199999999996,984.858,0.02706967845594251,0.003384233777154492,0.037853942802482686
1982-12-01,12051.0,10247.0,1789.0,3939.0,3425.0,4662.0,7384.0,736.0,2392.0,1115.0,3507.0,2008.4479999999999,226.688,940.0559999999999,438.195,1378.251,2303.808,255.392,724.7760000000001,301.05,1025.826,3071.744,253.92,727.168,375.755,1102.923,0.02490905426071928,0.00298160092743598,0.03572674945954568
1983-01-01,11534.0,9804.0,1721.0,3654.0,3312.0,4668.0,7978.0,856.0,2633.0,1046.0,3679.0,2209.906,268.784,1134.823,428.86,1563.683,2337.554,253.37600000000003,681.947,222.798,904.745,3438.518,332.98400000000004,816.23,394.34200000000004,1210.5720000000001,0.027322572370815482,0.0032882662033301606,0.04007889721777881
1983-02-01,11545.0,9893.0,1613.0,3717.0,3177.0,4641.0,7939.0,842.0,2521.0,1079.0,3600.0,1802.1529999999998,294.7,990.7529999999999,418.652,1409.405,2508.724,255.968,776.4680000000001,284.856,1061.324,3636.0619999999994,291.332,753.779,375.49199999999996,1129.271,0.022581973958178084,0.003928440220481692,0.03643659786754312
1983-03-01,11408.0,9735.0,1675.0,3502.0,3150.0,4612.0,7560.0,854.0,2407.0,1056.0,3463.0,1519.56,241.68200000000002,945.9509999999999,420.28799999999995,1366.2389999999998,2207.52,269.86400000000003,669.1460000000001,273.50399999999996,942.6500000000001,3832.92,343.30800000000005,791.903,362.20799999999997,1154.1109999999999,0.01905713363900623,0.0030733961653964265,0.03545096388735699
1983-04-01,11268.0,9640.0,1646.0,3539.0,3112.0,4370.0,6872.0,760.0,2274.0,1129.0,3403.0,1395.016,249.27999999999997,927.7919999999999,545.307,1473.099,1683.64,218.88,598.062,269.83099999999996,867.893,3793.344,291.08,748.146,312.733,1060.879,0.01765861818517631,0.0033631679774032545,0.03857979149058991
1983-05-01,11154.0,9447.0,1682.0,3531.0,2979.0,4538.0,6441.0,757.0,2365.0,1203.0,3568.0,1397.697,279.33299999999997,1142.295,547.365,1689.66,1429.9019999999998,196.063,539.22,286.314,825.5340000000001,3613.4010000000003,281.60400000000004,683.485,369.32099999999997,1052.806,0.01747012656640897,0.0036766871696985695,0.04423373660439358
1983-06-01,11246.0,9388.0,1775.0,3686.0,2926.0,4470.0,6135.0,748.0,2799.0,1887.0,4686.0,1564.425,329.12,1508.661,1186.923,2695.584,1263.8100000000002,184.75599999999997,671.76,417.02700000000004,1088.787,3306.765,233.37599999999998,621.3779999999999,283.05,904.4279999999999,0.019800931116664044,0.004523940346061994,0.07038710313034403
1983-07-01,10548.0,8919.0,1636.0,3459.0,2821.0,4329.0,5890.0,767.0,2492.0,1559.0,4051.0,1655.09,340.54799999999994,1061.5919999999999,648.544,1710.136,1348.81,198.653,827.344,670.37,1497.714,2886.1,227.79899999999998,603.064,238.52700000000002,841.591,0.021053507359276344,0.00461166767400251,0.04657595060770119
1983-08-01,10623.0,8999.0,1614.0,3632.0,3035.0,4070.0,5793.0,863.0,2431.0,1323.0,3754.0,1587.282,392.665,1091.519,451.14300000000003,1542.662,1569.9030000000002,271.845,753.61,668.115,1421.725,2635.815,198.49,585.8710000000001,203.74200000000002,789.613,0.019881276361818585,0.005172047844313161,0.040390783407478016
1983-09-01,10282.0,8707.0,1606.0,3768.0,2774.0,3854.0,5270.0,941.0,2393.0,1226.0,3619.0,1581.0,483.67400000000004,1282.6480000000001,588.48,1871.1280000000002,1291.15,274.772,581.499,389.86800000000005,971.3670000000001,2397.85,181.613,528.8530000000001,248.878,777.731,0.02055627676141724,0.006673046623043438,0.051245409682593286
1983-10-01,9887.0,8357.0,1561.0,3491.0,2736.0,3648.0,4971.0,935.0,2432.0,1045.0,3477.0,1526.0969999999998,421.685,1089.5359999999998,440.99,1530.5259999999998,1237.779,282.37,756.352,324.995,1081.347,2212.095,230.945,586.1120000000001,277.97,864.0820000000001,0.019386242786835116,0.005681197071194357,0.04051779219021838
1983-11-01,9499.0,7947.0,1558.0,3347.0,2644.0,3535.0,5007.0,874.0,2193.0,1055.0,3248.0,1477.065,395.048,973.692,440.99,1414.682,1376.925,248.21599999999998,708.3389999999999,329.16,1037.499,2153.01,230.736,508.776,284.85,793.626,0.018184560032807207,0.005418056440227634,0.03748086338846423
1983-12-01,9331.0,7748.0,1608.0,3455.0,2521.0,3379.0,5238.0,766.0,2005.0,983.0,2988.0,1519.02,312.528,928.315,397.13199999999995,1325.4470000000001,1550.448,255.078,527.315,296.866,824.181,2168.5319999999997,198.39399999999998,547.365,289.00199999999995,836.367,0.01837498000554909,0.004260072510342902,0.03536928841056359
1984-01-01,9008.0,7526.0,1503.0,3309.0,2532.0,3254.0,5636.0,841.0,2258.0,1020.0,3278.0,1747.16,390.224,1027.39,453.9,1481.29,1656.984,208.56799999999998,571.274,249.9,821.174,2231.856,242.208,659.3359999999999,316.2,975.5359999999998,0.02116257402892143,0.005109031930586254,0.037525585866607106
1984-02-01,8791.0,7272.0,1498.0,3327.0,2485.0,2991.0,5471.0,787.0,2168.0,981.0,3149.0,1471.6989999999998,346.28,938.7439999999999,402.21,1340.954,1750.72,244.757,708.936,285.471,994.407,2254.052,195.963,522.488,294.3,816.788,0.01813480668821801,0.004716904830174311,0.03499738878895481
1984-03-01,8746.0,7288.0,1469.0,3335.0,2501.0,2881.0,5089.0,730.0,2157.0,1082.0,3239.0,1333.318,287.62,888.6840000000001,472.834,1361.518,1516.5220000000002,225.57,709.653,272.664,982.317,2239.16,216.81,558.663,325.682,884.345,0.016506310667646577,0.003803250488862259,0.03471460022961912
1984-04-01,8762.0,7316.0,1450.0,3362.0,2459.0,2858.0,4599.0,727.0,2107.0,1092.0,3199.0,1195.74,320.607,935.508,530.712,1466.22,1172.745,186.112,598.3879999999999,248.97600000000003,847.3639999999999,2230.515,221.00799999999998,573.104,312.312,885.416,0.014828547197428644,0.004223059845911811,0.038828967288543334
1984-05-01,8456.0,6985.0,1465.0,3167.0,2387.0,2884.0,4119.0,752.0,2141.0,1142.0,3283.0,1112.13,320.35200000000003,1057.654,558.438,1616.092,955.6080000000001,233.12,505.27600000000007,283.216,788.4920000000001,2047.1430000000003,199.28,578.07,300.346,878.416,0.013773226242245655,0.004093775693190856,0.04333107032761203
1984-06-01,8226.0,6617.0,1548.0,3261.0,2273.0,2612.0,3963.0,745.0,2259.0,1614.0,3873.0,1272.123,381.44,1280.853,1068.468,2349.321,959.0459999999999,170.605,521.8290000000001,321.186,843.0150000000001,1731.8310000000001,193.7,454.059,224.34600000000003,678.4050000000001,0.01576259464014418,0.005214124053351032,0.06542439611620775
1984-07-01,8537.0,7000.0,1535.0,3392.0,2472.0,2638.0,4258.0,880.0,2154.0,1421.0,3575.0,1562.6860000000001,426.8,1016.688,635.187,1651.875,1085.79,256.08,708.6659999999999,595.399,1304.065,1605.266,196.24,428.64599999999996,190.41400000000002,619.06,0.019129799320463606,0.005417877305427199,0.044860432324051
1984-08-01,8519.0,7007.0,1527.0,3567.0,2415.0,2604.0,3986.0,901.0,2283.0,1211.0,3494.0,1423.0020000000002,438.78700000000003,1111.8210000000001,495.29900000000004,1607.1200000000001,1072.234,273.904,735.1260000000001,519.519,1254.645,1494.75,188.30899999999997,436.05300000000005,197.393,633.446,0.018023614350390793,0.005804402987929448,0.043301574082529125
1984-09-01,8367.0,6892.0,1482.0,3325.0,2558.0,2538.0,3744.0,933.0,2323.0,1051.0,3374.0,1325.376,475.83,1217.252,476.10299999999995,1693.355,1044.576,279.9,666.7009999999999,328.963,995.664,1374.0480000000002,177.27,441.37,246.985,688.355,0.016641205842296825,0.0063283882475217035,0.04717390078732691
