realtime_start,realtime_end,date,value
2023-04-08,2023-04-08,1970-08-01,2957.264732280921
2023-04-08,2023-04-08,1970-09-01,2929.2325557734403
2023-04-08,2023-04-08,1970-10-01,2725.061296528274
2023-04-08,2023-04-08,1970-11-01,2718.515907123188
2023-04-08,2023-04-08,1970-12-01,2722.485588511958
2023-04-08,2023-04-08,1971-01-01,2619.8288730342683
2023-04-08,2023-04-08,1971-02-01,2689.3929547529115
2023-04-08,2023-04-08,1971-03-01,2688.492233454237
2023-04-08,2023-04-08,1971-04-01,2684.9070963951344
2023-04-08,2023-04-08,1971-05-01,2722.0612954689345
2023-04-08,2023-04-08,1971-06-01,2831.9842353198615
2023-04-08,2023-04-08,1971-07-01,2791.063904421823
2023-04-08,2023-04-08,1971-08-01,2817.7379744736977
2023-04-08,2023-04-08,1971-09-01,2788.3384468485315
2023-04-08,2023-04-08,1971-10-01,2824.360272690606
2023-04-08,2023-04-08,1971-11-01,2891.2587960476512
2023-04-08,2023-04-08,1971-12-01,2928.5690314074945
2023-04-08,2023-04-08,1972-01-01,3067.8053469117885
2023-04-08,2023-04-08,1972-02-01,3133.499211068501
2023-04-08,2023-04-08,1972-03-01,3202.4783414693147
2023-04-08,2023-04-08,1972-04-01,3234.6151605544824
2023-04-08,2023-04-08,1972-05-01,3290.0444614745843
2023-04-08,2023-04-08,1972-06-01,3329.6815601906937
2023-04-08,2023-04-08,1972-07-01,3399.367475869885
2023-04-08,2023-04-08,1972-08-01,3527.2161015319734
2023-04-08,2023-04-08,1972-09-01,3570.6485416518367
2023-04-08,2023-04-08,1972-10-01,3736.44430440502
2023-04-08,2023-04-08,1972-11-01,3805.532696314371
2023-04-08,2023-04-08,1972-12-01,4129.696597886648
2023-04-08,2023-04-08,1973-01-01,4237.678143149168
2023-04-08,2023-04-08,1973-02-01,4231.148653025596
2023-04-08,2023-04-08,1973-03-01,4270.653934289303
2023-04-08,2023-04-08,1973-04-01,4196.634684815026
2023-04-08,2023-04-08,1973-05-01,4244.051226725505
2023-04-08,2023-04-08,1973-06-01,4271.286953379137
2023-04-08,2023-04-08,1973-07-01,4340.220973844549
2023-04-08,2023-04-08,1973-08-01,4236.330389510163
2023-04-08,2023-04-08,1973-09-01,4202.074508869266
2023-04-08,2023-04-08,1973-10-01,4265.768742103481
2023-04-08,2023-04-08,1973-11-01,4243.142001676176
2023-04-08,2023-04-08,1973-12-01,4066.4423725001916
2023-04-08,2023-04-08,1974-01-01,4063.406505340785
2023-04-08,2023-04-08,1974-02-01,3974.6684482866053
2023-04-08,2023-04-08,1974-03-01,3990.185739156838
2023-04-08,2023-04-08,1974-04-01,4117.958010666898
2023-04-08,2023-04-08,1974-05-01,4064.160988768957
2023-04-08,2023-04-08,1974-06-01,3957.3397313791857
2023-04-08,2023-04-08,1974-07-01,3818.7270063300057
2023-04-08,2023-04-08,1974-08-01,3727.2928863960556
2023-04-08,2023-04-08,1974-09-01,3573.6731313104074
2023-04-08,2023-04-08,1974-10-01,3318.265398407405
2023-04-08,2023-04-08,1974-11-01,3069.905550837027
2023-04-08,2023-04-08,1974-12-01,2813.075374415843
2023-04-08,2023-04-08,1975-01-01,2651.4543217257046
2023-04-08,2023-04-08,1975-02-01,2589.976026569326
2023-04-08,2023-04-08,1975-03-01,2514.715141428345
2023-04-08,2023-04-08,1975-04-01,2521.0312831456663
2023-04-08,2023-04-08,1975-05-01,2516.76542854492
2023-04-08,2023-04-08,1975-06-01,2698.780644493539
2023-04-08,2023-04-08,1975-07-01,2746.408316958384
2023-04-08,2023-04-08,1975-08-01,2715.710211560787
2023-04-08,2023-04-08,1975-09-01,2786.5270205686816
2023-04-08,2023-04-08,1975-10-01,2788.449742552684
2023-04-08,2023-04-08,1975-11-01,2892.494884126608
2023-04-08,2023-04-08,1975-12-01,2897.3745306685296
2023-04-08,2023-04-08,1976-01-01,2966.1399431441314
2023-04-08,2023-04-08,1976-02-01,3126.206179246283
2023-04-08,2023-04-08,1976-03-01,3150.950316095849
2023-04-08,2023-04-08,1976-04-01,3133.1202134756254
2023-04-08,2023-04-08,1976-05-01,3207.3049278431727
2023-04-08,2023-04-08,1976-06-01,3226.3034547703987
2023-04-08,2023-04-08,1976-07-01,3196.221544709189
2023-04-08,2023-04-08,1976-08-01,3201.450239242016
2023-04-08,2023-04-08,1976-09-01,3177.3783155936585
2023-04-08,2023-04-08,1976-10-01,3218.104154612504
2023-04-08,2023-04-08,1976-11-01,3290.3471056053063
2023-04-08,2023-04-08,1976-12-01,3437.5067005742094
2023-04-08,2023-04-08,1977-01-01,3540.392292872135
2023-04-08,2023-04-08,1977-02-01,3543.3288808683405
2023-04-08,2023-04-08,1977-03-01,3645.9828231110446
2023-04-08,2023-04-08,1977-04-01,3744.867119948855
2023-04-08,2023-04-08,1977-05-01,3848.829992158891
2023-04-08,2023-04-08,1977-06-01,3883.8459024774897
2023-04-08,2023-04-08,1977-07-01,3986.511492062481
2023-04-08,2023-04-08,1977-08-01,4078.2508429960394
2023-04-08,2023-04-08,1977-09-01,4063.4349758891
2023-04-08,2023-04-08,1977-10-01,4262.7606067388315
2023-04-08,2023-04-08,1977-11-01,4406.825542481037
2023-04-08,2023-04-08,1977-12-01,4533.150595921953
2023-04-08,2023-04-08,1978-01-01,4569.031730053848
2023-04-08,2023-04-08,1978-02-01,4604.686021130203
2023-04-08,2023-04-08,1978-03-01,4747.157687064999
2023-04-08,2023-04-08,1978-04-01,5032.693733879378
2023-04-08,2023-04-08,1978-05-01,4992.133173872605
2023-04-08,2023-04-08,1978-06-01,4996.478525473383
2023-04-08,2023-04-08,1978-07-01,4997.845137098876
2023-04-08,2023-04-08,1978-08-01,5079.119335201026
2023-04-08,2023-04-08,1978-09-01,5150.204029988618
2023-04-08,2023-04-08,1978-10-01,5316.940077700732
2023-04-08,2023-04-08,1978-11-01,5284.363250973543
2023-04-08,2023-04-08,1978-12-01,5316.158601972743
2023-04-08,2023-04-08,1979-01-01,5271.145646427043
2023-04-08,2023-04-08,1979-02-01,5158.447516390895
2023-04-08,2023-04-08,1979-03-01,5201.414251957037
2023-04-08,2023-04-08,1979-04-01,5373.266218221194
2023-04-08,2023-04-08,1979-05-01,5334.696969685698
2023-04-08,2023-04-08,1979-06-01,5261.886630640074
2023-04-08,2023-04-08,1979-07-01,5221.953544674802
2023-04-08,2023-04-08,1979-08-01,5284.917881971647
2023-04-08,2023-04-08,1979-09-01,5423.802746959256
2023-04-08,2023-04-08,1979-10-01,5510.706083434037
2023-04-08,2023-04-08,1979-11-01,5164.425332734755
